지점명,일시,강수량(mm),1시간최다강수량(mm),1시간최다강수량시각
서울,2014.7.12,,,
서울,2014.7.13,,,
서울,2014.7.14,,,
서울,2014.7.15,,,
서울,2014.7.16,,,
서울,2014.7.17,0.2,0.2,
서울,2014.7.18,1.5,1.5,4:43
서울,2014.7.19,,,
서울,2014.7.20,,,
서울,2014.7.21,,,
서울,2014.7.22,16.5,15.5,18:41
서울,2014.7.23,55,21.5,3:06
서울,2014.7.24,48,10.5,6:09
서울,2014.7.25,59.5,34.5,1:14
서울,2014.7.26,2.5,0.6,3:54
서울,2014.7.27,,,
서울,2014.7.28,,,
서울,2014.7.29,,,
서울,2014.7.30,,,
서울,2014.7.31,1.5,1.5,17:25
서울,2014.8.1,,,
서울,2014.8.2,0,0,
서울,2014.8.3,13,2.5,18:39
서울,2014.8.4,6.5,1.5,0:01
서울,2014.8.5,0,0,
서울,2014.8.6,10.5,4.5,16:16
서울,2014.8.7,0.2,0.2,
서울,2014.8.8,,,
서울,2014.8.9,,,
서울,2014.8.10,42.5,25.5,17:21
서울,2014.8.11,,,
서울,2014.8.12,,,
서울,2014.8.13,0,0,
서울,2014.8.14,0.5,0.4,12:28
서울,2014.8.15,,,
서울,2014.8.16,,,
서울,2014.8.17,3,1.5,10:29
서울,2014.8.18,11.5,6.5,10:35
서울,2014.8.19,4.5,2,22:45
서울,2014.8.20,0.5,0.4,2:30
서울,2014.8.21,46.5,23.5,9:13
서울,2014.8.22,15,13,0:40
서울,2014.8.23,0.5,0.5,3:40
서울,2014.8.24,0.1,0.1,
서울,2014.8.25,0,0,
서울,2014.8.26,11.5,11,17:42
서울,2014.8.27,,,
서울,2014.8.28,,,
서울,2014.8.29,6.5,6.5,20:50
서울,2014.8.30,,,
서울,2014.8.31,,,
서울,2014.9.1,1.5,1.5,18:37
서울,2014.9.2,6,4,23:09
서울,2014.9.3,57.5,11.5,0:29
서울,2014.9.4,,,
서울,2014.9.5,,,
서울,2014.9.6,,,
서울,2014.9.7,,,
서울,2014.9.8,,,
서울,2014.9.9,,,
서울,2014.9.10,,,
서울,2014.9.11,,,
서울,2014.9.12,0.1,0.1,
서울,2014.9.13,,,
서울,2014.9.14,,,
서울,2014.9.15,,,
서울,2014.9.16,,,
서울,2014.9.17,,,
서울,2014.9.18,,,
서울,2014.9.19,,,
서울,2014.9.20,,,
서울,2014.9.21,0,0,
서울,2014.9.22,,,
서울,2014.9.23,,,
서울,2014.9.24,6.5,3,9:20
서울,2014.9.25,,,
서울,2014.9.26,0,0,
서울,2014.9.27,,,
서울,2014.9.28,0.5,0.5,20:10
서울,2014.9.29,16,4.5,13:23
서울,2014.9.30,,,
서울,2014.10.1,,,
서울,2014.10.2,9,6,16:04
서울,2014.10.3,,,
서울,2014.10.4,,,
서울,2014.10.5,,,
서울,2014.10.6,,,
서울,2014.10.7,,,
서울,2014.10.8,,,
서울,2014.10.9,,,
서울,2014.10.10,,,
서울,2014.10.11,,,
서울,2014.10.12,,,
서울,2014.10.13,,,
서울,2014.10.14,,,
서울,2014.10.15,,,
서울,2014.10.16,2.5,2.5,5:10
서울,2014.10.17,,,
서울,2014.10.18,,,
서울,2014.10.19,,,
서울,2014.10.20,21.5,5,5:07
서울,2014.10.21,18.5,3,13:33
서울,2014.10.22,,,
서울,2014.10.23,,,
서울,2014.10.24,,,
서울,2014.10.25,,,
서울,2014.10.26,0.5,0.5,18:40
서울,2014.10.27,,,
서울,2014.10.28,,,
서울,2014.10.29,,,
서울,2014.10.30,,,
서울,2014.10.31,0.2,0.1,
서울,2014.11.1,,,
서울,2014.11.2,2.5,,
서울,2014.11.3,,,
서울,2014.11.4,,,
서울,2014.11.5,,,
서울,2014.11.6,0.5,,
서울,2014.11.7,,,
서울,2014.11.8,,,
서울,2014.11.9,,,
서울,2014.11.10,,,
서울,2014.11.11,2,,
서울,2014.11.12,5,,
서울,2014.11.13,,,
서울,2014.11.14,0,,
서울,2014.11.15,,,
서울,2014.11.16,1,,
서울,2014.11.17,1.5,,
서울,2014.11.18,,,
서울,2014.11.19,,,
서울,2014.11.20,,,
서울,2014.11.21,,,
서울,2014.11.22,4,,
서울,2014.11.23,,,
서울,2014.11.24,,,
서울,2014.11.25,,,
서울,2014.11.26,,,
서울,2014.11.27,,,
서울,2014.11.28,18,,
서울,2014.11.29,,,
서울,2014.11.30,7,,
서울,2014.12.1,0.5,,
서울,2014.12.2,0,,
서울,2014.12.3,0.9,,
서울,2014.12.4,0,,
서울,2014.12.5,,,
서울,2014.12.6,,,
서울,2014.12.7,,,
서울,2014.12.8,,,
서울,2014.12.9,,,
서울,2014.12.10,2,,
서울,2014.12.11,0.5,,
서울,2014.12.12,0.1,,
서울,2014.12.13,,,
서울,2014.12.14,0,,
서울,2014.12.15,10.5,,
서울,2014.12.16,0,,
서울,2014.12.17,,,
서울,2014.12.18,,,
서울,2014.12.19,0.9,,
서울,2014.12.20,2,,
서울,2014.12.21,0,,
서울,2014.12.22,0.3,,
서울,2014.12.23,,,
서울,2014.12.24,0.2,,
서울,2014.12.25,,,
서울,2014.12.26,,,
서울,2014.12.27,,,
서울,2014.12.28,,,
서울,2014.12.29,,,
서울,2014.12.30,,,
서울,2014.12.31,0,,
서울,2015.1.1,,,
서울,2015.1.2,,,
서울,2015.1.3,,,
서울,2015.1.4,0,,
서울,2015.1.5,0.4,,
서울,2015.1.6,3,,
서울,2015.1.7,,,
서울,2015.1.8,,,
서울,2015.1.9,,,
서울,2015.1.10,,,
서울,2015.1.11,,,
서울,2015.1.12,,,
서울,2015.1.13,,,
서울,2015.1.14,,,
서울,2015.1.15,,,
서울,2015.1.16,0.3,,
서울,2015.1.17,,,
서울,2015.1.18,4,,
서울,2015.1.19,0.1,,
서울,2015.1.20,,,
서울,2015.1.21,,,
서울,2015.1.22,,,
서울,2015.1.23,,,
서울,2015.1.24,,,
서울,2015.1.25,3,,
서울,2015.1.26,0.5,,
서울,2015.1.27,,,
서울,2015.1.28,,,
서울,2015.1.29,,,
서울,2015.1.30,,,
서울,2015.1.31,,,
서울,2015.2.1,,,
서울,2015.2.2,,,
서울,2015.2.3,,,
서울,2015.2.4,,,
서울,2015.2.5,,,
서울,2015.2.6,,,
서울,2015.2.7,,,
서울,2015.2.8,,,
서울,2015.2.9,0.2,,
서울,2015.2.10,,,
서울,2015.2.11,,,
서울,2015.2.12,,,
서울,2015.2.13,,,
서울,2015.2.14,,,
서울,2015.2.15,,,
서울,2015.2.16,10.5,,
서울,2015.2.17,0.5,,
서울,2015.2.18,0,,
서울,2015.2.19,,,
서울,2015.2.20,,,
서울,2015.2.21,8,,
서울,2015.2.22,2.5,,
서울,2015.2.23,,,
서울,2015.2.24,,,
서울,2015.2.25,0.5,,
서울,2015.2.26,0.5,,
서울,2015.2.27,,,
서울,2015.2.28,,,
서울,2015.3.1,0,,
서울,2015.3.2,,,
서울,2015.3.3,5.5,,
서울,2015.3.4,,,
서울,2015.3.5,,,
서울,2015.3.6,,,
서울,2015.3.7,,,
서울,2015.3.8,,,
서울,2015.3.9,,,
서울,2015.3.10,,,
서울,2015.3.11,,,
서울,2015.3.12,,,
