,year,month,day,week,home,away,stadium,weather,temp,spec,date
109,2023,9,17,일,삼성,롯데,대구 삼성 라이온즈 파크,비,27.9℃,18746,2023-09-17
110,2023,9,16,토,LG,SSG,서울 잠실 야구장,비,26.6℃,18576,2023-09-16
111,2023,9,15,금,롯데,키움,부산 사직 야구장,비,26.8℃,6409,2023-09-15
112,2023,9,15,금,NC,삼성,창원NC파크,비,24.2℃,4129,2023-09-15
113,2023,9,15,금,KIA,두산,광주-기아 챔피언스 필드,비,27.7℃,7350,2023-09-15
114,2023,9,15,금,한화,LG,대전 한화생명 이글스파크,비,24.2℃,5724,2023-09-15
115,2023,9,14,목,삼성,KT,대구 삼성 라이온즈 파크,비,24.5℃,6850,2023-09-14
116,2023,9,14,목,두산,SSG,서울 잠실 야구장,흐림,27.2℃,7257,2023-09-14
117,2023,9,13,수,NC,KT,창원NC파크,비,27.7℃,3919,2023-09-13
118,2023,9,13,수,KIA,롯데,광주-기아 챔피언스 필드,비,25.4℃,6323,2023-09-13
119,2023,9,12,화,삼성,KIA,대구 삼성 라이온즈 파크,흐림,30.6℃,9037,2023-09-12
120,2023,9,12,화,롯데,NC,부산 사직 야구장,구름많음,30.3℃,8202,2023-09-12
121,2023,9,12,화,SSG,KT,인천SSG 랜더스필드,구름많음,28.7℃,10309,2023-09-12
122,2023,9,12,화,두산,한화,서울 잠실 야구장,구름많음,29.8℃,10169,2023-09-12
123,2023,9,10,일,두산,삼성,서울 잠실 야구장,구름많음,29.6℃,17467,2023-09-10
124,2023,9,10,일,NC,롯데,창원NC파크,구름조금,30℃,13984,2023-09-10
125,2023,9,10,일,KT,SSG,수원케이티위즈파크,구름많음,30.4℃,11212,2023-09-10
126,2023,9,10,일,KIA,LG,광주-기아 챔피언스 필드,구름많음,30.7℃,13948,2023-09-10
127,2023,9,10,일,키움,한화,서울고척스카이돔,구름많음,29.6℃,11313,2023-09-10
128,2023,9,9,토,두산,삼성,서울 잠실 야구장,구름조금,31.2℃,14279,2023-09-09
129,2023,9,9,토,NC,롯데,창원NC파크,맑음,30.8℃,10933,2023-09-09
130,2023,9,9,토,KIA,LG,광주-기아 챔피언스 필드,맑음,30.7℃,11820,2023-09-09
131,2023,9,9,토,키움,한화,서울고척스카이돔,구름조금,31.2℃,9962,2023-09-09
132,2023,9,9,토,KT,SSG,수원케이티위즈파크,구름조금,31.1℃,13739,2023-09-09
133,2023,9,9,토,두산,삼성,서울 잠실 야구장,구름조금,31.2℃,21514,2023-09-09
134,2023,9,9,토,NC,롯데,창원NC파크,맑음,30.8℃,17861,2023-09-09
135,2023,9,9,토,KIA,LG,광주-기아 챔피언스 필드,맑음,30.7℃,18462,2023-09-09
136,2023,9,9,토,키움,한화,서울고척스카이돔,구름조금,31.2℃,10028,2023-09-09
137,2023,9,8,금,두산,삼성,서울 잠실 야구장,맑음,30.5℃,15991,2023-09-08
138,2023,9,8,금,NC,롯데,창원NC파크,맑음,29.4℃,12684,2023-09-08
139,2023,9,8,금,KT,SSG,수원케이티위즈파크,맑음,30.6℃,7200,2023-09-08
140,2023,9,8,금,키움,한화,서울고척스카이돔,맑음,30.5℃,7715,2023-09-08
141,2023,9,8,금,KIA,LG,광주-기아 챔피언스 필드,맑음,29.9℃,12280,2023-09-08
142,2023,9,7,목,롯데,삼성,울산문수야구장,맑음,26.3℃,7156,2023-09-07
143,2023,9,7,목,한화,SSG,대전 한화생명 이글스파크,맑음,30.1℃,7236,2023-09-07
144,2023,9,7,목,KT,LG,수원케이티위즈파크,맑음,31.2℃,10799,2023-09-07
145,2023,9,7,목,NC,키움,창원NC파크,맑음,30.1℃,4780,2023-09-07
146,2023,9,7,목,두산,KIA,서울 잠실 야구장,맑음,31.6℃,21838,2023-09-07
147,2023,9,6,수,NC,키움,창원NC파크,구름조금,31.3℃,4269,2023-09-06
148,2023,9,6,수,두산,KIA,서울 잠실 야구장,맑음,32.1℃,20468,2023-09-06
149,2023,9,6,수,KT,LG,수원케이티위즈파크,맑음,31.7℃,10075,2023-09-06
150,2023,9,6,수,한화,SSG,대전 한화생명 이글스파크,맑음,31.3℃,7213,2023-09-06
151,2023,9,6,수,롯데,삼성,울산문수야구장,맑음,27.9℃,6380,2023-09-06
152,2023,9,5,화,롯데,삼성,울산문수야구장,흐림,28.5℃,5999,2023-09-05
153,2023,9,5,화,한화,SSG,대전 한화생명 이글스파크,구름많음,31.2℃,5124,2023-09-05
154,2023,9,5,화,KT,LG,수원케이티위즈파크,구름조금,32.5℃,10153,2023-09-05
155,2023,9,5,화,NC,키움,창원NC파크,구름많음,31.5℃,3511,2023-09-05
156,2023,9,4,월,롯데,두산,부산 사직 야구장,구름조금,30.9℃,4621,2023-09-04
157,2023,9,3,일,SSG,KIA,인천SSG 랜더스필드,흐림,28.4℃,23000,2023-09-03
158,2023,9,3,일,롯데,두산,부산 사직 야구장,구름조금,30.7℃,11436,2023-09-03
